r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,start_time
12,39,98,100,112,72,55,47,62,87,True,1512668742
39,110,78,6,5,11,29,15,107,3,False,1512793599
1,13,23,60,112,94,77,86,88,27,False,1515826181
39,34,62,16,87,106,55,43,100,3,True,1515812986
95,40,97,65,86,18,13,7,5,64,True,1504849146
76,4,65,51,75,77,63,7,27,114,True,1505015828
72,43,57,16,27,41,19,76,100,3,True,1515737384
2,47,13,14,31,59,61,51,7,50,True,1504767123
10,47,65,7,87,9,29,36,86,23,True,1504774799
67,43,53,30,107,72,34,65,27,100,False,1515813189
1,11,51,103,75,94,13,114,86,16,False,1512996681
74,8,19,69,87,48,43,2,64,23,True,1515660277
61,15,59,69,111,99,72,97,27,100,False,1512990369
47,56,65,7,31,13,43,41,68,23,True,1504962121
94,19,16,27,100,12,39,57,86,30,False,1515923083
12,11,13,16,3,109,39,104,100,86,True,1515833992
94,39,78,107,3,72,34,57,112,71,False,1512313704
4,18,97,68,16,76,63,69,31,107,False,1504771145
80,15,33,51,3,39,20,69,64,16,True,1512658369
82,58,43,51,87,39,69,12,100,86,False,1512992385
39,12,29,51,87,11,77,16,27,103,True,1515918301
61,19,59,16,111,11,81,103,27,51,False,1515746780
41,74,13,107,68,77,48,99,16,87,True,1515663930
61,15,19,16,86,9,78,20,51,75,True,1512787972
89,54,78,16,86,109,19,20,51,3,False,1513079638
11,72,38,75,51,98,39,16,19,86,True,1515824645
34,10,88,107,92,41,68,86,100,69,True,1504851805
13,81,39,100,86,11,19,49,51,37,False,1515668130
1,40,65,101,83,8,106,104,7,31,False,1505022513
9,98,65,16,31,40,59,104,111,107,False,1504857370
48,101,43,110,84,109,49,58,27,71,False,1512301119
76,114,19,79,51,13,63,98,23,64,True,1512744731
109,9,36,85,64,74,81,7,68,88,False,1504850407
94,77,33,60,84,109,78,43,23,27,True,1515830151
63,106,65,30,23,93,40,29,16,31,True,1504958787
35,81,55,30,107,1,40,65,7,112,False,1504952313
22,60,72,27,51,34,43,62,19,87,False,1515648425
69,43,40,51,111,17,36,104,64,107,True,1504767205
39,12,29,107,64,95,47,60,102,3,True,1512505478
19,80,51,78,112,10,49,65,28,79,True,1512308394
36,11,55,107,64,83,3,31,37,99,True,1504771060
109,40,29,23,50,39,77,51,86,60,True,1504954731
15,13,80,16,79,54,28,101,74,23,True,1512656457
74,40,51,88,68,109,36,92,86,7,False,1504942076
34,15,69,62,87,1,57,65,3,71,True,1512989256
11,77,57,87,51,15,76,2,27,88,True,1515644605
11,19,108,86,103,20,39,29,85,27,False,1512656042
54,17,38,7,111,95,80,65,87,107,True,1504757038
12,39,7,100,3,82,11,104,88,51,True,1515816919
10,15,69,23,64,48,35,18,88,79,True,1512788329
39,54,13,75,107,25,44,7,68,100,True,1504780157
94,15,29,88,79,1,13,38,16,3,False,1512321432
48,49,78,79,51,10,39,27,41,107,False,1515752835
10,13,108,23,79,76,8,64,60,107,True,1512750994
11,38,41,51,75,34,72,57,27,83,True,1515666816
15,35,51,23,3,10,22,78,88,87,False,1512784615
8,47,29,91,30,36,56,104,31,3,False,1505028920
47,44,104,14,31,25,42,90,28,62,True,1504784280
113,81,38,107,30,34,77,29,64,60,True,1515844969
72,47,29,100,3,77,39,98,60,27,False,1515744901
109,39,38,51,68,11,16,77,88,87,True,1515661413
69,63,12,30,107,94,114,57,16,26,False,1512654663
10,80,13,86,31,54,17,97,16,87,False,1504759676
63,9,104,23,64,106,4,75,65,7,False,1504761771
114,35,92,29,14,76,41,7,51,68,True,1504926647
34,109,57,28,87,94,22,19,27,84,False,1515813621
48,9,78,85,79,106,98,69,60,31,False,1512468929
10,43,65,107,111,39,8,7,92,40,True,1504784472
78,59,108,16,111,19,76,38,107,3,False,1512991037
40,4,65,60,68,1,9,53,111,23,False,1504951513
34,15,41,87,100,12,39,19,88,64,False,1515759227
48,29,43,100,3,39,12,19,86,27,True,1515839725
94,90,11,20,75,47,1,65,31,7,False,1504774214
11,19,104,3,100,17,63,99,90,84,True,1515726660
12,108,76,27,60,82,59,16,112,85,False,1512662671
61,19,38,64,100,76,69,20,30,88,True,1515655466
10,34,29,51,86,74,19,65,27,103,False,1513069161
74,54,16,112,107,41,49,114,92,104,False,1504929852
11,19,20,62,27,8,80,51,30,40,True,1515734832
109,9,51,31,107,47,104,41,28,68,True,1504868935
34,53,8,21,92,114,17,7,62,26,False,1504928742
63,47,13,86,23,41,76,40,75,65,False,1505012525
81,76,57,28,27,94,34,78,60,68,True,1512472951
82,8,107,60,86,11,20,51,27,16,False,1512666904
11,77,13,60,30,109,49,19,112,88,True,1515904385
46,54,40,16,20,109,13,65,111,88,True,1505025528
102,11,19,51,30,39,34,104,62,88,False,1515899162
18,29,74,51,50,72,39,41,62,110,False,1512993809
11,10,60,103,3,82,39,7,112,51,True,1513076810
49,52,41,27,88,74,81,13,51,87,True,1515834777
72,76,29,64,107,10,43,27,78,23,True,1512492517
40,54,104,28,20,12,34,60,88,79,False,1512672285
63,61,49,14,68,40,33,81,23,30,True,1505017310
75,36,16,64,107,95,40,13,7,30,False,1504761561
4,47,65,88,30,40,106,55,62,87,False,1504937247
39,54,69,71,84,82,19,78,16,27,False,1512318598
57,109,15,28,64,74,114,65,112,60,True,1512808231
82,98,13,100,3,49,76,88,60,64,False,1515658814
34,102,41,28,68,39,81,104,107,31,False,1504864389
39,54,13,7,27,15,70,36,16,75,True,1504840089
114,76,55,16,30,73,104,70,100,31,True,1504851869
1,36,69,68,7,10,39,16,28,31,False,1504871173
34,67,100,112,65,109,39,69,27,30,True,1513000904
109,39,60,100,112,81,47,19,3,51,True,1512664931
65,4,81,64,60,43,77,108,30,16,False,1515907849
109,40,65,86,23,10,75,69,64,7,True,1504839607
39,72,16,84,30,80,49,65,100,86,False,1513076431
76,12,58,30,100,54,106,16,3,28,True,1515750969
13,72,78,62,3,10,12,104,51,27,False,1512484370
81,34,29,30,60,8,13,88,100,27,True,1515747113
1,4,7,65,31,36,47,13,16,75,True,1504845528
76,46,13,23,85,94,91,29,27,107,False,1515828380
34,19,16,66,68,11,54,88,112,103,False,1513079999
34,41,55,40,23,4,106,102,7,31,False,1504845587
73,20,65,114,87,54,39,98,16,64,True,1504857197
11,81,55,51,87,94,76,19,30,60,False,1515640963
2,11,6,92,51,47,77,64,60,100,False,1515675689
43,63,55,107,87,8,13,69,23,79,False,1512991540
74,36,70,87,88,46,40,69,92,7,False,1504858054
82,76,57,3,91,13,77,19,88,27,False,1515817332
72,12,29,68,100,46,70,57,62,30,False,1512991363
13,19,47,16,111,94,43,38,100,68,False,1515740289
39,40,55,16,68,41,34,51,86,23,False,1504840754
39,19,7,30,107,12,43,57,103,37,True,1515927010
12,47,90,40,23,9,63,88,16,75,False,1504759315
10,39,108,62,112,81,85,47,68,78,True,1513246853
49,15,29,16,68,13,23,114,19,112,False,1512659499
47,114,65,23,30,8,82,29,75,27,True,1504865408
11,12,65,100,87,109,39,29,64,51,True,1515827594
63,106,104,7,31,4,47,65,85,23,True,1504845917
81,11,97,20,107,72,39,69,62,64,False,1512655281
9,4,104,14,20,39,65,59,111,16,True,1504872472
106,94,65,112,62,54,39,58,16,84,False,1512482769
39,114,108,86,107,59,76,57,27,28,False,1512476704
59,18,7,16,5,114,49,86,85,65,False,1504871207
80,19,104,27,84,11,81,88,75,69,False,1515828866
94,15,41,88,20,113,109,58,71,3,False,1512488656
15,43,104,103,112,63,76,65,107,3,False,1512798759
39,108,20,27,85,13,19,98,86,84,True,1512994377
108,54,46,27,51,70,96,76,86,107,False,1512784977
19,63,30,78,23,8,43,108,27,85,False,1515672621
11,15,78,27,100,13,63,19,88,86,False,1515726281
67,13,35,87,60,48,47,102,7,79,False,1512995162
10,13,47,100,85,11,72,19,51,3,False,1512995795
49,77,57,64,107,63,2,27,114,16,True,1515817389
47,76,32,51,27,95,92,38,49,107,False,1505031723
41,15,102,28,3,94,19,57,62,86,True,1512480367
15,76,69,85,84,42,102,39,71,31,True,1512298679
72,15,96,91,30,113,63,69,60,3,False,1512500329
11,77,16,64,88,109,49,57,62,30,False,1515823901
72,35,19,30,84,48,15,69,79,23,False,1512778353
106,11,51,97,86,10,13,65,40,114,False,1504854655
47,63,78,75,71,72,110,58,22,112,True,1512784823
8,47,78,23,30,72,80,19,27,85,True,1512781684
46,63,65,114,87,1,13,104,16,31,False,1504925857
10,34,102,88,30,48,39,38,27,62,True,1512991819
109,39,97,107,20,13,53,41,7,68,True,1504756197
11,72,13,60,87,49,77,104,66,27,False,1515731009
94,15,65,112,103,12,19,13,100,64,True,1515750429
49,19,51,100,68,13,8,72,16,84,True,1513066142
34,48,16,100,86,11,72,13,7,3,True,1515917766
95,76,7,65,31,8,11,2,51,101,True,1504928955
15,76,57,64,7,114,39,78,60,30,False,1512995880
52,35,55,86,62,8,57,15,100,71,False,1513065608
39,63,2,75,88,8,13,97,16,68,True,1504776204
34,109,78,100,87,8,17,29,64,16,False,1515839539
73,81,40,51,107,8,34,88,23,111,True,1504943180
48,13,108,88,79,9,49,69,16,3,True,1512742074
76,41,51,65,31,48,9,97,16,87,True,1504785357
72,39,69,51,64,94,13,65,84,87,True,1512997769
98,11,65,62,88,46,54,78,51,3,False,1515914651
34,81,108,86,60,45,40,51,16,23,True,1504839464
43,77,9,3,103,15,29,22,16,84,True,1515653984
114,49,65,30,23,18,47,92,104,32,True,1504966620
95,15,29,88,3,81,47,55,16,68,True,1512488116
63,43,41,103,30,13,35,64,60,20,True,1515673213
39,10,60,79,107,80,15,29,51,30,True,1512670248
72,39,58,64,100,11,98,27,104,51,True,1515849011
46,81,58,51,30,17,72,13,107,86,False,1515904685
34,41,29,30,62,19,17,57,16,3,False,1512660772
19,63,43,62,86,46,15,69,112,88,False,1515816938
78,39,15,51,3,76,69,81,88,68,False,1513000547
81,36,51,7,87,10,70,55,107,31,True,1504926146
15,63,108,60,86,10,49,57,84,31,False,1512496714
10,47,65,7,86,59,44,40,111,51,False,1504939772
11,78,81,68,51,109,13,58,30,107,True,1515900064
80,42,13,112,100,49,11,41,51,68,False,1515755094
4,52,102,86,60,87,76,80,71,29,True,1513249055
11,13,29,51,86,15,18,53,100,75,True,1515653452
59,17,16,85,86,8,63,51,23,31,True,1504845730
11,20,108,112,51,98,39,19,107,27,False,1515821720
98,54,39,7,87,48,34,110,51,20,True,1512659331
35,41,108,75,84,48,40,92,29,14,False,1504860170
46,4,65,27,23,13,8,104,16,75,True,1504852775
109,34,69,16,87,39,12,19,107,27,True,1515742513
11,18,51,75,38,81,57,43,3,88,False,1515673468
35,72,78,100,3,15,76,63,64,16,False,1515641122
114,47,60,28,111,81,43,68,78,23,False,1505012696
74,54,69,26,62,42,45,29,86,107,True,1512788489
73,13,70,7,87,80,46,51,30,107,True,1504863557
98,34,53,100,27,11,81,78,64,85,True,1515733174
76,40,65,87,23,1,106,92,16,104,True,1504839302
109,36,92,65,23,8,17,55,68,62,False,1504947117
18,9,114,51,31,39,8,7,14,27,True,1504860974
46,8,29,62,86,93,16,97,111,23,True,1512796131
13,12,16,107,87,113,108,90,78,51,True,1515760288
11,20,69,27,88,12,104,90,19,86,True,1515758361
11,81,108,71,86,103,74,16,112,60,False,1515760144
10,15,102,88,86,1,63,57,58,112,True,1512468623
94,63,69,86,107,39,54,55,16,110,False,1512655116
47,70,65,16,27,10,76,57,84,91,False,1512304011
74,40,65,60,87,47,63,104,107,37,False,1505025888
74,54,7,62,86,109,40,37,65,88,False,1504781167
39,48,30,107,7,11,13,51,54,87,False,1515675882
61,70,108,51,50,76,18,7,64,88,False,1504839412
12,15,78,79,23,10,13,19,60,86,False,1515665789
10,15,57,79,28,109,13,65,112,60,True,1512803976
54,4,86,97,7,114,40,13,87,51,False,1504861357
76,70,19,64,27,94,15,16,85,84,False,1515648447
10,40,51,68,88,48,34,92,14,29,True,1504947740
72,15,41,60,30,11,8,78,64,62,True,1512492295
76,81,16,65,75,1,36,97,107,30,True,1504936634
45,104,41,86,101,1,39,65,31,100,False,1507569019
36,18,104,68,23,77,13,65,7,64,True,1506613804
36,54,65,5,16,9,6,88,86,31,False,1506525758
42,74,51,69,31,9,53,36,7,68,True,1506535484
54,47,104,16,3,53,18,40,7,68,False,1505934293
13,39,77,7,31,40,9,53,69,86,False,1506705270
76,36,9,65,79,1,106,55,107,31,True,1507143261
41,97,40,28,101,47,81,60,68,16,True,1505939984
42,13,55,16,31,45,108,41,107,68,False,1505737205
13,63,65,87,107,8,39,7,28,31,True,1506518590
22,114,53,27,88,46,99,104,90,71,True,1506532510
25,41,51,16,68,39,42,78,27,88,True,1506967825
61,36,9,68,28,56,33,99,107,31,True,1506431755
41,40,78,16,87,63,45,104,68,88,False,1507572857
95,65,58,64,88,114,41,9,68,84,False,1506538733
13,81,47,23,3,94,53,40,37,107,True,1505742815
9,63,58,87,88,25,70,31,65,7,True,1506439867
41,9,55,107,31,17,72,45,86,78,True,1507135999
18,9,13,7,75,41,55,15,107,68,True,1505653536
25,54,65,51,31,39,41,63,68,28,False,1506436291
36,56,33,31,16,25,40,41,7,111,True,1505747548
81,92,65,64,88,8,47,53,60,20,True,1506270985
18,36,38,16,68,1,39,51,7,87,True,1506267380
61,63,65,7,64,53,36,70,23,68,True,1506444984
53,47,4,16,31,9,41,65,62,68,True,1506522023
40,42,2,68,7,95,53,41,86,31,True,1506700321
18,65,114,51,3,47,53,41,7,86,False,1507139575
39,80,52,7,79,9,65,6,50,84,True,1510156802
35,81,88,20,84,39,19,60,51,86,True,1510920625
80,49,78,16,68,19,29,77,27,91,True,1512143840
25,56,13,85,86,46,47,16,68,23,False,1510509647
80,17,29,86,5,1,15,55,71,112,False,1510261680
39,81,57,68,107,15,19,33,86,103,False,1518533801
1,13,40,27,112,11,45,41,16,68,True,1510853404
17,99,38,37,100,72,80,65,60,112,False,1512127242
38,47,20,88,37,77,81,39,7,112,False,1510243201
94,16,90,77,3,15,17,29,58,87,False,1518899423
12,17,16,66,30,49,15,104,100,86,True,1518181395
81,43,58,87,51,109,53,15,107,3,False,1518362020
17,72,65,91,86,39,12,78,103,87,False,1519000202
15,39,108,64,103,49,72,55,30,100,False,1518593415
39,77,108,107,87,49,15,20,16,3,False,1518278701
8,57,15,7,30,34,18,60,65,20,True,1510339200
18,39,78,27,88,12,72,19,51,3,True,1518095487
9,45,54,107,3,94,4,52,16,79,True,1510350300
94,61,60,2,68,72,7,55,51,3,False,1510767004
44,22,97,3,71,35,20,60,86,16,False,1509993740
72,43,78,62,30,81,39,90,16,87,False,1518188446
109,13,22,86,85,34,54,38,26,84,False,1510160702
46,108,63,69,87,72,11,57,86,62,False,1518906012
94,15,58,86,3,109,13,57,30,51,False,1518802228
80,15,19,86,100,11,54,16,103,3,True,1518782400
1,8,62,96,26,34,54,78,87,60,True,1510251690
72,76,57,30,66,15,74,78,100,64,True,1518795003
48,53,52,112,28,43,81,63,60,27,True,1512130979
15,49,57,107,3,1,34,39,112,51,True,1518601842
48,13,102,112,84,15,42,65,64,83,True,1510535111
19,34,51,112,91,80,98,43,14,86,False,1512139128
109,43,29,87,16,72,94,38,7,3,False,1519791316
109,22,78,27,85,72,98,57,86,84,False,1512248309
49,54,29,7,30,94,13,63,64,88,True,1510177193
48,17,53,7,111,41,43,78,68,16,True,1510173313
11,81,13,16,68,49,15,57,26,88,True,1518980704
12,47,51,112,107,48,13,16,65,79,True,1512296970
48,98,102,28,87,109,39,29,107,3,True,1512156197
43,54,69,60,112,80,12,78,87,107,True,1510866000
48,13,112,104,51,74,114,78,16,3,False,1510089003
72,35,102,103,3,54,76,108,52,62,True,1518705002
72,6,38,30,51,9,80,39,90,7,True,1510678502
10,15,102,79,107,74,109,103,100,3,True,1512122984
34,72,19,100,91,57,41,43,103,30,False,1518890560
17,98,19,60,86,109,76,78,51,30,False,1518523223
39,54,38,100,84,20,29,9,37,107,True,1510994724
72,95,41,103,86,42,57,17,7,68,False,1519787436
12,92,16,65,27,8,34,78,87,60,True,1518537564
17,12,89,49,27,98,34,38,51,62,True,1518991202
12,72,57,22,107,39,109,51,27,84,False,1510903840
76,20,86,107,57,52,70,79,60,3,True,1510770599
18,65,4,107,50,17,29,30,20,28,False,1510256101
12,63,39,100,30,94,17,38,51,85,False,1511015985
63,78,29,87,89,8,38,47,91,30,False,1518910280
48,49,29,16,87,34,109,51,64,86,True,1518510314
76,20,78,89,87,52,35,90,96,16,False,1518621984
12,49,57,86,87,109,78,13,68,62,True,1518805799
72,78,13,30,100,20,47,25,102,103,True,1518785400
94,17,38,51,112,19,64,2,23,91,False,1510525811
17,77,78,86,107,8,49,38,30,103,True,1518809340
39,67,57,100,86,109,34,7,26,84,True,1510924794
43,20,58,107,37,39,15,65,69,3,True,1509998400
46,77,39,79,28,19,98,17,5,86,True,1510675502
39,19,29,68,84,67,38,43,112,100,True,1510530310
19,17,63,27,107,99,74,7,112,84,False,1512147221
34,72,13,60,86,77,43,29,112,28,False,1512212705
109,15,57,13,87,53,95,97,27,19,True,1518798541
44,39,29,7,30,19,47,38,51,87,False,1510449901
46,15,40,88,84,17,54,13,7,68,True,1512135697
19,13,15,91,50,109,47,38,20,31,False,1512149432
72,13,43,86,84,35,92,112,16,23,True,1510513200
12,72,2,16,3,77,76,38,27,86,True,1518200404
94,15,57,85,87,10,47,69,27,51,False,1512124808
74,54,103,86,88,8,72,45,16,87,True,1519802281
67,13,57,112,51,94,9,100,88,31,True,1509989427
39,10,57,68,16,95,47,112,45,7,True,1510344299
12,39,104,87,51,15,76,57,89,86,True,1518105505
72,74,19,51,75,9,77,100,65,85,False,1511007299
8,15,55,107,87,76,72,27,16,23,True,1518274980
9,18,78,68,107,34,8,96,7,30,False,1510075501
12,13,38,90,3,17,72,78,100,87,True,1518913051
54,76,104,16,30,15,49,13,23,27,False,1518116707
109,22,104,51,3,4,17,40,84,107,True,1512222559
41,34,69,62,68,13,109,43,103,66,True,1519008302
94,15,65,84,28,17,81,100,104,112,True,1510929074
80,72,90,88,79,23,63,29,103,87,False,1512307524
48,9,57,86,89,35,114,78,50,84,True,1510265401
34,41,88,30,103,109,43,16,100,3,True,1518606959
53,41,68,20,85,57,39,63,107,50,True,1510779603
11,15,104,103,3,10,39,114,86,84,True,1512239515
34,49,16,19,75,8,72,13,89,87,False,1518597921
43,28,63,5,60,72,19,88,91,86,False,1512156999
19,40,9,107,31,43,100,41,85,87,True,1510990750
95,98,97,112,60,9,52,53,16,23,False,1510423225
94,72,13,30,19,76,43,86,16,65,True,1518611414
10,9,69,100,3,94,6,38,16,79,False,1512159183
57,8,17,62,3,19,39,78,16,66,False,1518268617
57,17,78,58,86,15,81,16,68,23,False,1510431618
11,55,18,64,51,8,34,16,66,86,False,1518374105
10,40,102,60,68,1,39,112,28,29,True,1512300783
94,72,29,58,60,35,54,38,28,84,True,1510439701
74,19,69,100,91,54,52,78,62,30,False,1512235717
48,17,78,27,60,34,53,77,79,107,False,1512153349
35,20,65,7,64,19,11,45,112,88,False,1510696801
94,39,20,58,87,47,44,53,85,112,False,1510002003
98,17,54,112,51,19,57,88,110,91,False,1510688701
12,47,78,27,16,48,49,57,28,3,False,1512244746
10,46,78,88,3,109,13,38,37,84,True,1512151253
46,54,13,60,3,80,43,96,22,71,False,1510083900
41,47,45,30,85,35,72,112,7,84,True,1512141481
48,58,43,89,64,74,81,13,88,30,True,1518109799
72,39,55,89,87,8,15,66,97,103,True,1518370443
1,69,9,30,51,109,36,85,68,60,False,1510685175
76,8,69,100,27,15,12,16,65,30,True,1518995703
11,93,102,51,87,109,9,65,100,30,True,1518113111
18,40,38,58,79,17,54,22,28,112,False,1510168802
41,34,38,62,68,8,113,51,107,30,True,1518697381
113,80,29,16,68,34,54,110,112,60,True,1512313805
17,72,49,51,30,11,54,65,66,23,False,1518290701
80,39,108,26,85,72,13,7,107,37,False,1510907709
19,53,13,86,84,41,43,9,101,89,True,1510436401
15,13,49,3,60,72,98,39,16,87,True,1518357611
109,39,2,112,89,63,53,22,60,20,True,1510335957
11,44,29,51,66,72,53,47,89,30,True,1518987791
18,47,58,60,20,43,44,55,107,102,True,1510246501
80,13,15,27,51,53,12,39,16,30,True,1518893113
49,76,16,30,19,46,54,38,86,91,True,1518507010
34,72,19,37,107,74,20,78,16,30,False,1518519006
72,45,7,107,3,15,12,19,68,100,True,1519798875
54,76,104,90,87,43,19,77,60,50,True,1518184507
72,11,88,64,51,12,17,16,85,87,True,1518196200
61,76,88,85,87,46,63,98,27,16,True,1512120946
98,11,55,3,16,72,114,108,30,51,True,1518514208
109,13,72,16,3,48,43,88,69,111,True,1518120075
94,39,102,100,87,95,38,47,91,30,False,1519003802
39,93,16,69,87,94,20,104,23,3,False,1518207299
11,15,41,51,58,63,13,38,86,66,True,1518283202
1,53,47,30,7,42,35,69,78,87,True,1510070452
17,20,63,30,107,49,4,53,51,87,True,1510775402
94,49,13,87,51,41,43,58,89,27,False,1518099515
94,72,112,65,107,13,63,43,27,85,True,1512207084
29,77,35,16,87,38,72,43,89,64,True,1518984003
94,61,20,85,87,12,15,107,30,65,False,1511003330
20,49,78,50,103,13,45,8,16,87,True,1518708901
39,102,28,64,84,74,15,38,51,85,False,1510998600
18,25,13,20,64,72,53,43,28,50,True,1510521946
94,19,13,58,86,9,16,81,68,85,True,1510517700
72,49,41,107,87,11,54,102,3,103,False,1519794500
17,44,112,86,88,80,43,53,16,26,True,1510427115
35,28,55,60,64,19,43,65,88,112,False,1510692907
15,108,95,86,3,53,6,57,20,85,True,1512319893
20,47,102,86,64,72,74,78,103,3,False,1518711911
93,43,16,26,85,94,13,54,28,3,False,1512131903
19,76,57,91,30,80,94,102,84,26,True,1512231377
109,43,69,29,30,74,72,66,2,26,True,1518529314
17,94,57,100,88,8,93,65,37,107,True,1511019596
11,54,13,64,89,102,72,49,16,87,True,1518902419
76,15,57,27,23,109,39,78,3,51,True,1518287401
55,63,39,107,85,15,13,69,86,100,False,1511011801
12,9,65,16,3,93,47,88,51,30,True,1512218012
48,39,29,107,84,11,108,20,23,3,False,1512226470
44,53,47,79,51,94,13,108,27,85,False,1510861593
98,106,53,85,3,17,61,96,27,84,False,1510856700
80,76,16,103,87,11,43,102,51,3,True,1518715801
11,70,78,16,3,43,15,69,87,107,False,1518366007
18,43,28,78,3,39,20,69,86,31,True,1510445958
17,44,38,16,75,80,98,108,86,112,False,1510165801
12,34,16,87,85,72,11,55,64,51,False,1518191592
76,72,19,90,7,43,54,108,86,16,True,1519783247
39,93,58,62,27,72,44,65,3,100,True,1518204002
63,13,20,16,85,46,96,114,64,84,False,1510916108
15,47,49,16,87,11,13,92,100,30,True,1518976897
12,19,13,86,60,46,54,38,26,83,True,1510912507
18,43,40,13,51,77,74,41,103,87,False,1518813000
82,47,65,30,7,1,39,57,51,3,False,1510079707
48,12,13,107,3,94,63,57,28,30,True,1512165934
49,109,55,62,64,8,76,53,27,51,True,1518271502
72,16,21,30,103,18,47,38,66,86,False,1518791631
13,109,57,86,100,15,76,38,91,3,False,1518618112
113,39,41,68,51,75,57,20,107,112,True,1510092603
94,59,102,86,84,114,43,29,112,107,True,1512162376
72,76,86,65,103,38,81,39,100,68,True,1518701401
102,39,41,27,103,114,34,38,101,100,False,1515638517
46,76,38,28,27,81,9,29,90,3,False,1515559797
57,39,19,27,85,13,15,20,51,86,False,1515341258
109,9,78,79,103,11,76,57,51,27,True,1515352626
72,39,29,112,107,76,15,65,75,103,False,1515498976
67,13,16,51,87,34,19,2,88,68,False,1515600432
94,58,6,3,85,82,19,69,27,23,True,1515614674
109,34,29,51,75,94,49,16,100,84,True,1515609602
41,35,29,16,30,11,40,13,27,100,True,1515344993
11,72,51,88,86,77,47,19,16,112,False,1515355074
47,77,112,78,87,41,29,39,68,100,True,1515630357
34,65,47,27,107,8,39,100,29,3,False,1516760320
1,43,51,89,87,12,72,47,62,26,False,1519124499
15,104,58,30,107,19,47,100,20,66,False,1515808827
81,43,65,100,27,109,19,13,87,30,False,1515754368
19,17,16,100,27,43,15,65,103,87,False,1515495870
72,92,65,100,20,11,93,55,51,87,True,1515351661
41,39,69,103,87,114,49,104,16,3,True,1515575347
48,52,78,103,86,12,49,57,87,30,False,1515575908
76,114,13,64,107,11,8,69,112,100,True,1515483258
34,69,54,16,87,67,43,88,27,100,False,1515590142
13,29,54,90,62,12,17,65,107,50,True,1515500899
76,20,51,102,68,8,69,100,78,27,False,1515491594
54,43,78,88,68,46,77,38,51,87,False,1516842117
12,43,38,112,107,80,25,69,100,3,True,1515781455
54,7,78,16,30,8,61,19,13,84,False,1515600512
20,92,65,16,68,72,59,51,107,111,True,1515524463
81,43,108,100,68,114,13,77,51,27,True,1516754573
12,39,30,41,84,77,38,94,100,87,True,1515579685
94,21,88,30,96,13,8,114,19,3,True,1516756185
8,72,19,107,27,11,54,78,16,87,True,1515690009
76,49,65,103,3,72,108,45,62,86,True,1519153613
18,15,65,27,62,19,12,38,37,84,True,1515509610
43,63,69,65,86,11,15,41,51,111,False,1515654155
81,34,16,3,103,11,18,13,51,86,True,1515610997
17,82,108,100,85,12,15,58,91,87,False,1519400598
11,29,72,89,51,39,15,33,103,3,False,1515305631
1,11,65,100,64,39,12,51,111,107,True,1515586414
34,41,104,68,51,76,20,13,88,27,False,1515308450
49,72,45,66,89,15,77,16,90,69,True,1519134915
94,72,60,112,100,76,15,66,3,81,True,1515338228
48,13,9,100,87,52,63,33,16,30,True,1515611263
63,47,19,62,87,94,21,16,57,27,False,1515506895
61,11,57,86,58,109,90,47,20,3,False,1519235445
39,63,104,30,107,80,114,78,13,79,False,1515604901
34,102,43,51,87,11,77,19,62,86,False,1515746015
34,95,41,27,51,1,61,13,30,88,False,1515350676
109,61,13,66,107,92,65,86,20,85,True,1519408987
63,33,47,107,27,80,61,112,29,51,True,1515613649
109,47,55,112,100,53,19,13,107,27,True,1515713400
11,8,57,66,30,63,46,78,64,100,False,1515344955
72,49,108,100,68,48,13,102,85,87,True,1515583127
109,63,102,27,100,25,54,13,86,30,True,1515604677
11,81,27,29,28,39,15,41,51,64,True,1515347836
38,10,49,90,86,53,109,57,100,64,True,1519297145
80,19,38,58,86,8,94,97,16,101,True,1516759112
63,49,13,27,28,11,19,102,51,3,False,1515594017
55,114,43,107,30,72,12,88,16,68,False,1519154368
54,76,112,100,78,63,49,60,58,102,False,1515506509
109,39,104,60,64,77,11,29,87,28,False,1515481324
11,15,78,71,68,12,49,16,50,62,False,1515586826
72,34,19,27,51,42,47,78,68,107,True,1515506437
72,17,65,51,87,15,54,13,62,3,True,1515580033
76,63,102,60,3,11,81,103,30,62,True,1515334137
109,57,70,87,16,72,33,49,86,68,False,1519394329
48,43,13,27,100,49,53,19,87,3,False,1515341440
94,43,65,16,3,49,19,81,37,30,True,1515485234
4,76,65,60,86,34,102,19,68,16,True,1515519852
74,27,64,71,21,46,63,51,29,87,False,1515560481
48,22,79,60,103,34,77,55,30,28,True,1515583692
114,39,61,30,51,70,104,57,62,27,False,1515679081
33,15,54,51,27,94,53,29,3,13,False,1515787457
13,19,102,27,103,54,76,50,89,3,False,1516842119
54,57,92,86,91,19,12,78,60,68,True,1519210835
41,11,51,16,68,9,77,108,27,103,True,1515516965
72,95,16,86,66,15,54,13,30,107,False,1519297254
39,99,69,68,62,12,33,54,100,3,False,1515478043
49,12,9,64,62,23,19,104,37,100,False,1515497626
57,11,70,16,27,63,49,29,62,87,True,1516757319
19,22,102,100,87,11,81,16,29,3,False,1515481222
77,11,100,55,3,8,43,57,23,30,False,1515603503
109,38,49,103,3,34,43,69,89,87,False,1519477821
12,98,78,16,3,49,54,13,89,30,False,1519161615
13,15,21,107,27,35,60,16,65,87,True,1516760034
54,33,43,100,58,8,74,90,88,27,False,1516679752
13,77,96,86,103,39,15,58,100,87,True,1515377367
