r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,radiant_win,start_time
11,19,97,21,30,10,49,78,86,66,False,1530719654
36,25,38,107,86,48,39,104,28,112,False,1510319479
67,15,9,71,30,73,43,91,60,87,True,1530552910
80,13,69,107,87,20,41,16,52,55,True,1510495306
106,95,38,86,20,67,9,57,52,100,False,1530285056
48,12,29,86,103,94,15,79,68,107,False,1513559053
12,15,29,28,87,8,13,35,100,27,False,1513457166
39,6,58,60,20,48,13,9,107,79,False,1510677966
53,72,49,84,30,54,34,29,87,85,False,1510659118
1,23,97,5,75,12,15,104,85,101,True,1531056292
11,76,78,69,5,46,63,108,86,103,False,1513376592
17,13,12,107,91,18,53,43,23,79,False,1510685216
72,36,41,87,84,76,17,29,112,27,False,1510749445
35,93,57,85,86,11,36,38,3,20,True,1510870911
22,41,100,78,52,54,34,5,29,20,False,1530641061
1,4,20,14,3,12,45,16,52,75,True,1531062319
18,39,29,28,86,19,46,53,37,60,False,1510693377
80,74,110,2,7,12,25,5,30,28,False,1531230719
15,9,29,16,84,19,69,13,79,107,False,1510595875
10,49,78,86,68,77,34,39,100,30,True,1513446918
94,39,16,91,107,48,13,108,86,71,True,1510614502
39,29,56,30,7,13,54,53,107,87,True,1510342155
72,93,57,26,84,53,39,41,16,64,False,1510877180
8,13,51,97,86,46,81,16,107,68,True,1510528213
13,54,29,68,62,15,19,27,10,51,False,1513533715
42,23,119,97,75,4,106,14,5,88,True,1530806876
109,39,29,7,30,54,36,97,71,31,True,1510405344
18,98,13,51,3,76,63,7,86,14,True,1510482520
12,72,108,86,103,13,17,6,112,28,False,1513299249
74,19,78,79,89,43,108,63,112,60,True,1513538309
93,39,57,60,68,1,34,97,16,112,True,1510434018
20,106,55,28,64,13,63,51,7,83,True,1510326587
48,49,38,85,5,72,23,60,79,91,False,1530979401
106,74,9,112,30,48,25,16,21,66,False,1530900744
12,106,45,103,75,49,72,51,52,64,True,1531070130
11,9,103,27,51,94,58,29,86,84,False,1513215225
20,70,38,27,51,98,57,19,16,3,False,1510606819
34,28,78,26,85,17,89,63,7,84,True,1510477302
94,72,38,79,52,12,19,108,86,103,False,1513303249
53,15,52,66,107,39,104,54,28,31,False,1510443262
12,74,9,64,7,72,22,16,66,83,True,1530468013
12,40,97,79,30,46,52,2,51,50,True,1530710171
13,94,8,58,28,109,36,20,60,87,True,1510782917
114,39,65,84,28,93,29,101,107,68,False,1510669027
48,17,108,3,62,109,22,69,5,85,False,1530293326
46,57,44,51,87,40,13,6,53,3,False,1510792404
17,15,75,104,7,109,74,100,107,3,False,1510410876
13,19,78,51,86,72,57,41,100,68,False,1513203479
25,41,9,89,85,12,40,4,37,107,True,1530273678
74,77,19,64,66,72,70,38,30,91,False,1530716442
113,19,57,27,88,94,6,41,28,79,True,1513460912
94,13,8,79,107,34,109,29,16,112,True,1513361300
104,45,4,19,75,70,40,38,5,83,False,1530560372
15,80,78,107,87,54,39,65,7,64,True,1510506040
4,35,69,37,21,12,106,97,103,3,True,1530389040
19,35,29,51,68,114,13,97,100,112,True,1510746246
1,49,102,107,79,12,13,15,112,62,True,1513466107
61,120,106,85,30,56,6,78,52,3,False,1530634763
109,13,19,110,100,18,43,69,112,28,False,1513469808
18,61,13,112,58,4,47,64,86,60,True,1510710401
13,109,22,107,3,18,43,38,28,50,False,1510630221
109,106,21,78,83,12,74,69,79,5,True,1530792214
67,25,5,70,30,12,63,45,21,37,False,1531240749
94,39,58,112,28,61,20,69,71,87,False,1510681226
72,39,21,29,3,70,74,9,89,79,False,1530889308
76,108,42,86,84,61,10,49,107,79,False,1513551650
17,92,29,64,89,34,77,38,112,103,True,1530381414
10,80,102,51,112,56,40,78,101,83,True,1530812677
